,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.2609837308843085,102196.72473404255,277.58428046043883,97165.05319148937,275.7491481050532,-0.278979037670379,118.0,89.0,82.0,2.0,50.0,17.0,0.79
Tianjin,1.336984345407197,102250.84659090907,281.34474875710225,101944.34848484848,278.0777994791667,1.942766131776752,166.0,126.0,193.0,12.0,104.0,9.0,1.06
Shijiazhuang,1.3884412977430556,102235.36805555556,279.85120985243054,98281.08333333331,277.93267144097223,0.6982506646050347,125.0,95.0,144.0,7.0,73.0,5.0,1.17
Tangshan,1.6794297960069444,102247.29166666669,281.21025933159723,100992.58333333331,278.71837022569446,0.8153839111328125,116.0,88.0,119.0,7.0,70.0,11.0,1.14
Langfang,0.6914306640625,102232.2,280.888427734375,102021.2,277.86171875,1.8792510986328128,186.0,140.0,217.0,7.0,89.0,2.0,1.2
Baoding,1.1216665414663465,102195.47115384616,278.7695875901442,97623.6153846154,276.81674429086536,0.3571507380558894,174.0,132.0,192.0,11.0,78.0,10.0,1.14
Cangzhou,1.4517333984375,102308.21875,282.463037109375,102188.35,277.9755859375,2.9604034423828125,150.0,115.0,160.0,10.0,58.0,53.0,0.72
Hengshui,0.8153483072916666,102305.60416666669,282.7932942708333,102019.875,278.5948079427083,3.163121541341146,138.0,105.0,137.0,10.0,58.0,58.0,0.58
Xingtai,0.8949862393465909,102291.02083333331,281.7515906131629,99746.65151515152,278.96783262310606,2.1069765957919038,115.0,87.0,135.0,6.0,67.0,8.0,1.67
Handan,1.231946221713362,102340.00646551725,281.5582822602371,99088.25862068964,279.1193089978448,1.7717585070379849,135.0,103.0,121.0,16.0,75.0,17.0,1.44
Taiyuan,1.194404933763587,102401.47010869563,276.1216138756794,88383.19565217392,274.2942000679348,0.4831615945567255,108.0,81.0,140.0,17.0,63.0,2.0,1.19
Yangquan,2.1420375279017856,102295.99107142857,277.4373953683036,91055.21428571428,275.3752790178572,1.0179508754185267,90.0,67.0,103.0,24.0,56.0,23.0,1.12
Changzhi,0.9914376395089286,102450.49464285714,278.1679478236607,89992.5,276.17446986607143,0.4188297816685268,128.0,97.0,130.0,9.0,47.0,31.0,1.72
Jincheng,0.5555632218070652,102483.99184782608,280.0299868376359,91970.54347826086,278.0929432744565,-0.5967466934867527,116.0,88.0,142.0,5.0,56.0,16.0,1.02
Jinan,0.2007190335181451,102468.06653225806,280.9332236013105,100706.17741935483,277.3205330141129,2.2406768798828125,115.0,87.0,133.0,9.0,54.0,62.0,0.66
Zibo,1.034731910342262,102469.21130952382,279.8714076450893,100288.92857142857,276.8019438244048,1.861677623930432,133.0,101.0,134.0,14.0,65.0,31.0,1.26
Jining,-0.3031005859375,102523.3359375,280.694580078125,101590.9375,278.9658203125,2.1652069091796875,128.0,97.0,122.0,9.0,69.0,37.0,0.72
Dezhou,0.9718205378605768,102401.1971153846,282.43680513822113,102077.42307692308,277.67908653846155,2.8673670842097354,163.0,124.0,175.0,18.0,65.0,58.0,0.8
Liaocheng,0.443653247974537,102423.81712962964,282.71604636863424,101932.9074074074,278.79893663194446,3.015127111364294,174.0,132.0,192.0,15.0,46.0,73.0,0.8
Binzhou,1.3465033637152777,102413.54861111112,281.195068359375,102169.42592592593,278.0492259837963,2.3993863706235534,141.0,108.0,168.0,33.0,107.0,6.0,1.22
Heze,0.6303969874526515,102502.85416666669,281.79219193892044,101897.40909090907,279.1961706912879,2.213658650716146,176.0,133.0,164.0,52.0,47.0,86.0,0.65
Zhengzhou,0.8609212239583334,102468.4375,282.4506022135417,100184.95833333331,280.8990885416667,0.9074249267578124,109.0,82.0,105.0,11.0,64.0,35.0,0.74
Kaifeng,0.7884521484375,102493.62797619047,282.22315615699404,101679.16666666669,280.3276134672619,1.9630076090494792,151.0,116.0,135.0,12.0,61.0,42.0,0.65
Anyang,1.2072700832201086,102385.69836956522,282.4057511039402,100013.58695652174,279.9882387907609,1.937517912491508,180.0,136.0,176.0,19.0,70.0,5.0,0.98
Hebi,1.6052924262152777,102381.77083333331,282.64580620659723,100445.61111111112,280.44151475694446,1.7666100396050348,149.0,114.0,159.0,10.0,57.0,32.0,0.96
Xinxiang,1.3049205433238635,102436.67613636365,282.33480557528407,100058.40909090907,280.4248046875,1.2847997492009944,160.0,122.0,172.0,11.0,94.0,6.0,0.95
Jiaozuo,0.7957438151041667,102456.80416666668,281.543896484375,98879.5,280.5017578125,-0.3657684326171875,103.0,77.0,121.0,8.0,38.0,54.0,0.72
Puyang,0.6779378255208334,102441.29861111112,283.1215006510417,101835.83333333331,279.70562065972223,2.818367852105035,202.0,152.0,152.0,13.0,67.0,32.0,0.82
